"bodyid","post","pre","downstream","upstream","synweight","assignedOlHex1","assignedOlHex2","flywireType","group","name","somaSide","statusLabel","superclass","type","vfbId","hemibrainType","itoleeHl","supertype","birthtime","mancBodyid","mancGroup","mancType","subclass","synonyms","class","rootSide","somaNeuromere","trumanHl","dimorphism","matchingNotes","entryNerve","mancSerial","mcnsSerial","serialMotif","fruDsx","exitNerve","receptorType","somaLocation","tosomaLocation","status","totalNtPredictions","predictedNtConfidence","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","celltypePredictedNtConfidence","consensusNt","voxels","locationType","soma","role","superclass_export"
12500,3679,1693,11019,3679,14698,NA,NA,"cL10",12500,"LoVP96_L","L","Prelim Roughly traced","visual_centrifugal","LoVP96","VFB_jrmc208c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fw has a bigger axonic branch but not labeled as dimorphic as the mcns neurons look undertraced and the EM has small defect lines.",NA,NA,NA,NA,NA,NA,NA,"62657,36249,30498","","Traced",1693,0.818679571151733,"glutamate",3275,"glutamate",0.815474450588226,"glutamate",2003391337,NA,TRUE,"INTERNEURON","visual_centrifugal"
12501,4311,804,5483,4311,9794,NA,NA,"PLP018",12501,"PLP018_L","L","Prelim Roughly traced","cb_intrinsic","PLP018","VFB_jrmc1im1","PLP018","LALa1_anterior","11712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65890,27723,15839","","Traced",804,0.871209979057312,"gaba",3227,"gaba",0.871793329715729,"gaba",1699505223,NA,TRUE,"INTERNEURON","cb_intrinsic"
12507,6157,1291,10602,6157,16759,NA,NA,"AVLP340",11191,"AVLP340_R","R","Roughly traced","cb_intrinsic","AVLP340","VFB_jrmc3imo","AVLP340","VLPl1_or_VLPl5","11191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31161,37033,23950","","Traced",1291,0.944681465625763,"acetylcholine",2683,"acetylcholine",0.954854369163513,"acetylcholine",2099768937,NA,TRUE,"INTERNEURON","cb_intrinsic"
12514,4005,1134,9708,4005,13713,NA,NA,"SAD076",12514,"SAD076_L","L","Roughly traced","cb_intrinsic","SAD076","VFB_jrmc1axy","SAD076","DM1_antero_ventral","10505",NA,NA,NA,NA,NA,NA,NA,NA,"CG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48335,13854,29904","","Traced",1134,0.645322322845459,"glutamate",2276,"glutamate",0.58918708562851,"glutamate",2100199375,NA,TRUE,"INTERNEURON","cb_intrinsic"
12518,14635,1570,13740,14635,28375,NA,NA,"PVLP121",12518,"PVLP121_R","R","Roughly traced","cb_intrinsic","PVLP121","VFB_jrmc1kgo","PVLP121","VLPl&p2_posterior","12518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38556,26008,37168","","Traced",1570,0.969172835350037,"acetylcholine",3239,"acetylcholine",0.968742251396179,"acetylcholine",1945647341,NA,TRUE,"INTERNEURON","cb_intrinsic"
12521,4795,1238,10549,4795,15344,NA,NA,"LPT04_HST",11793,"HST(hb5813042688)_R","R","Roughly traced","visual_projection","HST","VFB_jrmc2ump","(hb5813042688)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29112,30590,42520","","Traced",1238,0.959071159362793,"acetylcholine",2505,"acetylcholine",0.963509440422058,"acetylcholine",2220553914,NA,TRUE,"INPUT_VISUAL","visual_projection"
12525,7389,1792,12096,7389,19485,NA,NA,"AVLP160",NA,"AVLP160_R","R","Prelim Roughly traced","cb_intrinsic","AVLP160","VFB_jrmc3i6b","AVLP160","VLPl2_medial","11224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25788,22930,19518","","Traced",1792,0.906083166599274,"acetylcholine",3496,"acetylcholine",0.902422845363617,"acetylcholine",2006148165,NA,TRUE,"INTERNEURON","cb_intrinsic"
12531,8910,1393,11866,8910,20776,NA,NA,"AVLP479",12531,"AVLP479_L","L","Prelim Roughly traced","cb_intrinsic","AVLP479","VFB_jrmc3ixs","AVLP479","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64432,21294,34824","","Traced",1393,0.81965446472168,"gaba",5230,"gaba",0.812130093574524,"gaba",1721547030,NA,TRUE,"INTERNEURON","cb_intrinsic"
12543,1777,777,6841,1777,8618,NA,NA,"CL115",12543,"CL115_R","R","Roughly traced","cb_intrinsic","CL115","VFB_jrmc3491","CL115","putative_primary",NA,NA,NA,NA,NA,NA,NA,"SEZPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32422,34235,17932","","Traced",777,0.673928141593933,"gaba",1533,"gaba",0.711202561855316,"gaba",1221630806,NA,TRUE,"INTERNEURON","cb_intrinsic"
12555,1795,980,8991,1795,10786,NA,NA,"aMe25",12555,"aMe25_L","L","Prelim Roughly traced","visual_projection","aMe25","VFB_jrmc02ag","aMe25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73373,29550,22117","","Traced",980,0.729824602603912,"glutamate",1935,"glutamate",0.755186975002289,"glutamate",1544698600,NA,TRUE,"INTERNEURON","visual_projection"
