"bodyid","name","type","signal","side"
27471,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
27544,"LC10d_R","LC10d","OBJECT_TRACKING","R"
27566,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
27579,"LC10a_R","LC10a","OBJECT_TRACKING","R"
27621,"LC10d_L","LC10d","OBJECT_TRACKING","L"
27624,"LC4_L","LC4","LOOMING_COLLISION","L"
27682,"LC40_R","LC40","LOOMING_COLLISION","R"
27689,"LC10a_L","LC10a","OBJECT_TRACKING","L"
27704,"LC10a_R","LC10a","OBJECT_TRACKING","R"
27705,"LC40_R","LC40","LOOMING_COLLISION","R"
27709,"LC10a_R","LC10a","OBJECT_TRACKING","R"
27716,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
27743,"LC10d_L","LC10d","OBJECT_TRACKING","L"
27750,"LC4_L","LC4","LOOMING_COLLISION","L"
27796,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
27829,"LC4_L","LC4","LOOMING_COLLISION","L"
27915,"LC10a_L","LC10a","OBJECT_TRACKING","L"
27967,"LC10a_L","LC10a","OBJECT_TRACKING","L"
28003,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
28011,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
28044,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
28082,"LC10a_L","LC10a","OBJECT_TRACKING","L"
28088,"LC10d_L","LC10d","OBJECT_TRACKING","L"
28134,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28143,"LC10a_L","LC10a","OBJECT_TRACKING","L"
28188,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
28204,"LC10a_R","LC10a","OBJECT_TRACKING","R"
28256,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28259,"LC10a_R","LC10a","OBJECT_TRACKING","R"
28357,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28390,"LC10a_R","LC10a","OBJECT_TRACKING","R"
28453,"LC10d_L","LC10d","OBJECT_TRACKING","L"
28533,"LC10a_L","LC10a","OBJECT_TRACKING","L"
28543,"LC10a_L","LC10a","OBJECT_TRACKING","L"
28599,"LC10a_R","LC10a","OBJECT_TRACKING","R"
28608,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28654,"LC10a_R","LC10a","OBJECT_TRACKING","R"
28741,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
28823,"LC10a_R","LC10a","OBJECT_TRACKING","R"
28871,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
28877,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28904,"LC10a_L","LC10a","OBJECT_TRACKING","L"
28944,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28945,"LC4_R","LC4","LOOMING_COLLISION","R"
28954,"LC10d_R","LC10d","OBJECT_TRACKING","R"
28980,"LC4_L","LC4","LOOMING_COLLISION","L"
29014,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29092,"LC10a_R","LC10a","OBJECT_TRACKING","R"
29183,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29186,"LC10a_R","LC10a","OBJECT_TRACKING","R"
29216,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29287,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29319,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
29359,"LC10a_R","LC10a","OBJECT_TRACKING","R"
29391,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29406,"LC10d_R","LC10d","OBJECT_TRACKING","R"
29417,"LC4_L","LC4","LOOMING_COLLISION","L"
29469,"LC4_L","LC4","LOOMING_COLLISION","L"
29514,"LC4_L","LC4","LOOMING_COLLISION","L"
29563,"LC4_R","LC4","LOOMING_COLLISION","R"
29598,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29686,"LC10a_L","LC10a","OBJECT_TRACKING","L"
29702,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
29744,"LC10a_R","LC10a","OBJECT_TRACKING","R"
29753,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
29793,"LC10d_R","LC10d","OBJECT_TRACKING","R"
29803,"LC10a_L","LC10a","OBJECT_TRACKING","L"
29815,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
29873,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
29893,"LC10d_R","LC10d","OBJECT_TRACKING","R"
29955,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
29979,"LC10a_R","LC10a","OBJECT_TRACKING","R"
29986,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
30025,"LC10a_L","LC10a","OBJECT_TRACKING","L"
30041,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
30087,"LC4_L","LC4","LOOMING_COLLISION","L"
30188,"LC10d_R","LC10d","OBJECT_TRACKING","R"
30207,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
30393,"LC10d_R","LC10d","OBJECT_TRACKING","R"
30408,"LC10d_L","LC10d","OBJECT_TRACKING","L"
30452,"LC10d_L","LC10d","OBJECT_TRACKING","L"
30480,"LC4_R","LC4","LOOMING_COLLISION","R"
30499,"LC10a_R","LC10a","OBJECT_TRACKING","R"
30510,"LC44_R","LC44","LOOMING_COLLISION","R"
30512,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
30707,"LC10a_L","LC10a","OBJECT_TRACKING","L"
30794,"LC41_L","LC41","LOOMING_COLLISION","L"
30803,"LC4_R","LC4","LOOMING_COLLISION","R"
30893,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
30895,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
30938,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
30941,"LC10d_R","LC10d","OBJECT_TRACKING","R"
30978,"LC10d_L","LC10d","OBJECT_TRACKING","L"
30993,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31033,"LC10a_L","LC10a","OBJECT_TRACKING","L"
31084,"LC10d_R","LC10d","OBJECT_TRACKING","R"
31105,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
31193,"LC10d_R","LC10d","OBJECT_TRACKING","R"
31250,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31254,"LC10d_R","LC10d","OBJECT_TRACKING","R"
31257,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
31262,"LC4_R","LC4","LOOMING_COLLISION","R"
31301,"LC4_L","LC4","LOOMING_COLLISION","L"
31308,"LC4_L","LC4","LOOMING_COLLISION","L"
31369,"LC10d_L","LC10d","OBJECT_TRACKING","L"
31429,"LC4_L","LC4","LOOMING_COLLISION","L"
31456,"LC10d_R","LC10d","OBJECT_TRACKING","R"
31544,"LC10d_L","LC10d","OBJECT_TRACKING","L"
31563,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
31623,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31634,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31636,"LC10d_L","LC10d","OBJECT_TRACKING","L"
31677,"LC10d_R","LC10d","OBJECT_TRACKING","R"
31679,"LC10d_L","LC10d","OBJECT_TRACKING","L"
31767,"LC41_R","LC41","LOOMING_COLLISION","R"
31801,"LC10a_L","LC10a","OBJECT_TRACKING","L"
31878,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31941,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31964,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
31976,"LC10a_R","LC10a","OBJECT_TRACKING","R"
31988,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
31999,"LC10d_R","LC10d","OBJECT_TRACKING","R"
32090,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32111,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32118,"LC10d_R","LC10d","OBJECT_TRACKING","R"
32153,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32223,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
32237,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
32238,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32257,"LC40_R","LC40","LOOMING_COLLISION","R"
32286,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32320,"LC10d_L","LC10d","OBJECT_TRACKING","L"
32336,"LC10a_R","LC10a","OBJECT_TRACKING","R"
32391,"LC10d_R","LC10d","OBJECT_TRACKING","R"
32493,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32507,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
32597,"LC4_L","LC4","LOOMING_COLLISION","L"
32614,"LC10a_R","LC10a","OBJECT_TRACKING","R"
32657,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32737,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
32767,"LC10a_L","LC10a","OBJECT_TRACKING","L"
32946,"LC10a_R","LC10a","OBJECT_TRACKING","R"
33048,"LC10a_R","LC10a","OBJECT_TRACKING","R"
33074,"LC10d_R","LC10d","OBJECT_TRACKING","R"
33094,"LC10d_R","LC10d","OBJECT_TRACKING","R"
33137,"LC4_L","LC4","LOOMING_COLLISION","L"
33177,"LC10a_R","LC10a","OBJECT_TRACKING","R"
33185,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
33219,"LC10a_L","LC10a","OBJECT_TRACKING","L"
33303,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
33381,"LC10b_R","LC10b","OBJECT_TRACKING","R"
33396,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
33399,"LC10d_L","LC10d","OBJECT_TRACKING","L"
33406,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
33439,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
33492,"LC40_R","LC40","LOOMING_COLLISION","R"
33579,"LC10d_R","LC10d","OBJECT_TRACKING","R"
33694,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
33797,"LC10d_R","LC10d","OBJECT_TRACKING","R"
33864,"LC10d_L","LC10d","OBJECT_TRACKING","L"
33965,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
34009,"LC40_R","LC40","LOOMING_COLLISION","R"
34029,"LC41_R","LC41","LOOMING_COLLISION","R"
34051,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
34110,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
34175,"LC40_R","LC40","LOOMING_COLLISION","R"
34351,"LC10a_L","LC10a","OBJECT_TRACKING","L"
34372,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
34407,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
34494,"LC10e_L","LC10e","OBJECT_TRACKING","L"
34568,"LC10d_L","LC10d","OBJECT_TRACKING","L"
34582,"LC10d_R","LC10d","OBJECT_TRACKING","R"
34600,"LC41_R","LC41","LOOMING_COLLISION","R"
34643,"LC10a_L","LC10a","OBJECT_TRACKING","L"
34654,"LC41_R","LC41","LOOMING_COLLISION","R"
34655,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
34671,"LC40_R","LC40","LOOMING_COLLISION","R"
34681,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
34756,"LC10a_R","LC10a","OBJECT_TRACKING","R"
34774,"LC10a_R","LC10a","OBJECT_TRACKING","R"
34838,"LC10a_R","LC10a","OBJECT_TRACKING","R"
34844,"LC10d_R","LC10d","OBJECT_TRACKING","R"
34845,"LC4_L","LC4","LOOMING_COLLISION","L"
34858,"LC10d_R","LC10d","OBJECT_TRACKING","R"
34901,"LC41_R","LC41","LOOMING_COLLISION","R"
35086,"LC10d_R","LC10d","OBJECT_TRACKING","R"
35250,"LC10a_R","LC10a","OBJECT_TRACKING","R"
35262,"LC4_L","LC4","LOOMING_COLLISION","L"
35294,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
35587,"LC10d_R","LC10d","OBJECT_TRACKING","R"
35616,"LC4_L","LC4","LOOMING_COLLISION","L"
35632,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
35659,"LC10e_R","LC10e","OBJECT_TRACKING","R"
35680,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
35838,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
35889,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
35891,"LC43_R","LC43","LOOMING_COLLISION","R"
35974,"LC43_R","LC43","LOOMING_COLLISION","R"
36071,"LC10b_L","LC10b","OBJECT_TRACKING","L"
36150,"LC10d_R","LC10d","OBJECT_TRACKING","R"
36152,"LC10a_L","LC10a","OBJECT_TRACKING","L"
36171,"LC43_L","LC43","LOOMING_COLLISION","L"
36286,"LC10a_L","LC10a","OBJECT_TRACKING","L"
36421,"LC10a_R","LC10a","OBJECT_TRACKING","R"
36464,"LC10d_R","LC10d","OBJECT_TRACKING","R"
36469,"LC10d_R","LC10d","OBJECT_TRACKING","R"
36481,"LC10d_R","LC10d","OBJECT_TRACKING","R"
36779,"LC10a_R","LC10a","OBJECT_TRACKING","R"
36783,"LC10a_L","LC10a","OBJECT_TRACKING","L"
36794,"LC10d_R","LC10d","OBJECT_TRACKING","R"
36847,"LC41_R","LC41","LOOMING_COLLISION","R"
37042,"LC10a_L","LC10a","OBJECT_TRACKING","L"
37160,"LC10d_R","LC10d","OBJECT_TRACKING","R"
37179,"LC10d_L","LC10d","OBJECT_TRACKING","L"
37267,"LC10d_R","LC10d","OBJECT_TRACKING","R"
37316,"LC10a_L","LC10a","OBJECT_TRACKING","L"
37370,"LC10d_R","LC10d","OBJECT_TRACKING","R"
37431,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
37499,"LC10b_L","LC10b","OBJECT_TRACKING","L"
37587,"LC4_L","LC4","LOOMING_COLLISION","L"
37613,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
37871,"LC10a_R","LC10a","OBJECT_TRACKING","R"
37896,"LC10a_L","LC10a","OBJECT_TRACKING","L"
37925,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
37958,"LC10a_R","LC10a","OBJECT_TRACKING","R"
38020,"LC10a_L","LC10a","OBJECT_TRACKING","L"
38065,"LC4_R","LC4","LOOMING_COLLISION","R"
38301,"LC10a_L","LC10a","OBJECT_TRACKING","L"
38374,"LC10a_R","LC10a","OBJECT_TRACKING","R"
38542,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
38572,"LC10d_R","LC10d","OBJECT_TRACKING","R"
38625,"LC10d_R","LC10d","OBJECT_TRACKING","R"
38691,"LC10d_R","LC10d","OBJECT_TRACKING","R"
38726,"LC10d_L","LC10d","OBJECT_TRACKING","L"
38810,"LC10a_R","LC10a","OBJECT_TRACKING","R"
38854,"LC40_R","LC40","LOOMING_COLLISION","R"
39058,"LC10b_R","LC10b","OBJECT_TRACKING","R"
39076,"LC41_L","LC41","LOOMING_COLLISION","L"
39108,"LC10a_L","LC10a","OBJECT_TRACKING","L"
39207,"LC40_R","LC40","LOOMING_COLLISION","R"
39398,"LC10d_L","LC10d","OBJECT_TRACKING","L"
39462,"LC40_R","LC40","LOOMING_COLLISION","R"
39512,"LC10d_R","LC10d","OBJECT_TRACKING","R"
39564,"LC10d_L","LC10d","OBJECT_TRACKING","L"
39620,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
39808,"LC10d_R","LC10d","OBJECT_TRACKING","R"
39851,"LC10d_R","LC10d","OBJECT_TRACKING","R"
39896,"LC10d_L","LC10d","OBJECT_TRACKING","L"
40220,"LC10a_L","LC10a","OBJECT_TRACKING","L"
40372,"LC10d_R","LC10d","OBJECT_TRACKING","R"
40480,"LC44_L","LC44","LOOMING_COLLISION","L"
40725,"LC10d_L","LC10d","OBJECT_TRACKING","L"
40756,"LC10d_L","LC10d","OBJECT_TRACKING","L"
40766,"LC43_R","LC43","LOOMING_COLLISION","R"
40811,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
40815,"LC10a_L","LC10a","OBJECT_TRACKING","L"
