"bodyid","name","type","signal","side"
50188,"LC10d_L","LC10d","OBJECT_TRACKING","L"
50287,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
50297,"LC10d_R","LC10d","OBJECT_TRACKING","R"
50405,"LC10b_R","LC10b","OBJECT_TRACKING","R"
50564,"LC10a_R","LC10a","OBJECT_TRACKING","R"
50819,"LC10d_L","LC10d","OBJECT_TRACKING","L"
51252,"LC10d_L","LC10d","OBJECT_TRACKING","L"
51397,"LC10a_R","LC10a","OBJECT_TRACKING","R"
51462,"LC10a_L","LC10a","OBJECT_TRACKING","L"
51720,"LC10a_L","LC10a","OBJECT_TRACKING","L"
51977,"LC40_L","LC40","LOOMING_COLLISION","L"
52102,"LC10d_R","LC10d","OBJECT_TRACKING","R"
52329,"LC10a_R","LC10a","OBJECT_TRACKING","R"
52430,"LC10a_L","LC10a","OBJECT_TRACKING","L"
52471,"LC10d_R","LC10d","OBJECT_TRACKING","R"
52626,"LC10d_R","LC10d","OBJECT_TRACKING","R"
52783,"LC10a_R","LC10a","OBJECT_TRACKING","R"
52977,"LC10d_L","LC10d","OBJECT_TRACKING","L"
53078,"LC40_R","LC40","LOOMING_COLLISION","R"
53417,"LC10d_R","LC10d","OBJECT_TRACKING","R"
53493,"LC43_R","LC43","LOOMING_COLLISION","R"
53572,"LC10a_R","LC10a","OBJECT_TRACKING","R"
53585,"LC10a_L","LC10a","OBJECT_TRACKING","L"
53725,"LC10d_L","LC10d","OBJECT_TRACKING","L"
54299,"LC46b_R","LC46b","LOOMING_COLLISION","R"
54421,"LC10a_R","LC10a","OBJECT_TRACKING","R"
54522,"LC10e_R","LC10e","OBJECT_TRACKING","R"
54562,"LC10a_R","LC10a","OBJECT_TRACKING","R"
54615,"LC40_L","LC40","LOOMING_COLLISION","L"
54638,"LC10a_R","LC10a","OBJECT_TRACKING","R"
54673,"LC10d_R","LC10d","OBJECT_TRACKING","R"
54692,"LC44_R","LC44","LOOMING_COLLISION","R"
55126,"LC40_R","LC40","LOOMING_COLLISION","R"
55326,"LC10d_R","LC10d","OBJECT_TRACKING","R"
55412,"LC43_R","LC43","LOOMING_COLLISION","R"
55627,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
55949,"LC10d_L","LC10d","OBJECT_TRACKING","L"
55997,"LC10d_L","LC10d","OBJECT_TRACKING","L"
56376,"LC10a_L","LC10a","OBJECT_TRACKING","L"
56727,"VSm_L","VSm","OPTIC_FLOW","L"
56781,"LC43_L","LC43","LOOMING_COLLISION","L"
56913,"LC10b_R","LC10b","OBJECT_TRACKING","R"
57061,"LC41_L","LC41","LOOMING_COLLISION","L"
57264,"LC10a_R","LC10a","OBJECT_TRACKING","R"
57894,"LC10a_R","LC10a","OBJECT_TRACKING","R"
58228,"LC10e_R","LC10e","OBJECT_TRACKING","R"
58258,"LC40_L","LC40","LOOMING_COLLISION","L"
58449,"LC10a_L","LC10a","OBJECT_TRACKING","L"
59511,"LC10b_R","LC10b","OBJECT_TRACKING","R"
59573,"LC10b_L","LC10b","OBJECT_TRACKING","L"
59911,"LC10e_R","LC10e","OBJECT_TRACKING","R"
60028,"LC10a_L","LC10a","OBJECT_TRACKING","L"
60207,"LC10a_L","LC10a","OBJECT_TRACKING","L"
60683,"LC10d_L","LC10d","OBJECT_TRACKING","L"
60723,"LC44_L","LC44","LOOMING_COLLISION","L"
60824,"LC10e_L","LC10e","OBJECT_TRACKING","L"
60828,"LC10d_R","LC10d","OBJECT_TRACKING","R"
60931,"LC43_L","LC43","LOOMING_COLLISION","L"
60970,"LC43_L","LC43","LOOMING_COLLISION","L"
61122,"LC10d_L","LC10d","OBJECT_TRACKING","L"
61443,"LC46b_L","LC46b","LOOMING_COLLISION","L"
61545,"LC10a_L","LC10a","OBJECT_TRACKING","L"
